tenant,career_url,is_career_page,status,type,endpoint,confidence,error,pagination_param,page_size_param,default_page_size,method,job_count_estimate,sample_job_ids,note
arupwhg.avature.net,https://arupwhg.avature.net/talent,True,failed,,,,no_pattern_detected,,,,,,,
appleeu.avature.net,https://appleeu.avature.net/careers,True,failed,,,,http_404,,,,,,,
attglobal.avature.net,https://attglobal.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
astellas.avature.net,https://astellas.avature.net/careers,True,success,search_jobs_html,https://astellas.avature.net/en_GB/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
autotrader.avature.net,https://autotrader.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
astellasjapan.avature.net,https://astellasjapan.avature.net/careers,True,success,search_jobs_html,https://astellasjapan.avature.net/en_GB/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
arcbest.avature.net,https://arcbest.avature.net/careersmarketplace,True,partial,html_scrape,https://arcbest.avature.net/careersmarketplace,low,,,,,,6.0,"['27800', '27986', '27573', '27984', '27985']",Requires detail page crawling
arcbest.avature.net,https://arcbest.avature.net/arcbjobs,True,failed,,,,no_pattern_detected,,,,,,,
astellas.avature.net,https://astellas.avature.net/talentcommunity,True,success,search_jobs_html,https://astellas.avature.net/careers/SearchJobs/,medium,,jobOffset,jobRecords,50.0,path_guessing,,,
arcbest.avature.net,https://arcbest.avature.net/abfjobs,True,failed,,,,no_pattern_detected,,,,,,,
baloise.avature.net,https://baloise.avature.net/chjobswitch,True,failed,,,,http_404,,,,,,,
arcbest.avature.net,https://arcbest.avature.net/arcbtechjobs,True,failed,,,,no_pattern_detected,,,,,,,
ashfieldhealthcare.avature.net,https://ashfieldhealthcare.avature.net/careers,True,success,search_jobs_html,https://engagecareers.inizioengage.com/en_GB/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
astellasjapan.avature.net,https://astellasjapan.avature.net/talentcommunityjapannew,True,success,search_jobs_html,https://astellasjapan.avature.net/careers/SearchJobs/,medium,,jobOffset,jobRecords,50.0,path_guessing,,,
baxter.avature.net,https://baxter.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
baml.avature.net,https://baml.avature.net/jobs,True,failed,,,,http_404,,,,,,,
baml.avature.net,https://baml.avature.net/careers,True,failed,,,,http_404,,,,,,,
bain.avature.net,https://bain.avature.net/recruits,True,failed,,,,no_pattern_detected,,,,,,,
baml.avature.net,https://baml.avature.net/recruiting,True,failed,,,,http_404,,,,,,,
baml.avature.net,https://baml.avature.net/talent,True,failed,,,,http_404,,,,,,,
bes.avature.net,https://bes.avature.net/connectwitharecruiter,True,failed,,,,fetch_failed,,,,,,,
baml.avature.net,https://baml.avature.net/talentcommunity,True,failed,,,,http_404,,,,,,,
bhp-clientcertificate.avature.net,https://bhp-clientcertificate.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
bhp-clientcertificate.avature.net,https://bhp-clientcertificate.avature.net/jobs,True,failed,,,,fetch_failed,,,,,,,
bhp-clientcertificate.avature.net,https://bhp-clientcertificate.avature.net/talent,True,failed,,,,fetch_failed,,,,,,,
bhp-clientcertificate.avature.net,https://bhp-clientcertificate.avature.net/recruiting,True,failed,,,,fetch_failed,,,,,,,
bhp-clientcertificate.avature.net,https://bhp-clientcertificate.avature.net/talentcommunity,True,failed,,,,fetch_failed,,,,,,,
auspost.avature.net,https://auspost.avature.net/careers,True,success,search_jobs_html,https://jobs.auspost.com.au/en_GB/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
bhp.avature.net,https://bhp.avature.net/careersES,True,failed,,,,fetch_failed,,,,,,,
bhsf.avature.net,https://bhsf.avature.net/talentcommunity,True,failed,,,,fetch_failed,,,,,,,
bkd.avature.net,https://bkd.avature.net/campuscareers,True,failed,,,,fetch_failed,,,,,,,
barclays.avature.net,https://barclays.avature.net/barclaystalentpool,True,failed,,,,http_404,,,,,,,
belk.avature.net,https://belk.avature.net/careers,True,failed,,,,http_404,,,,,,,
bellflight.avature.net,https://bellflight.avature.net/talentcommunity,True,failed,,,,no_pattern_detected,,,,,,,
berenberg.avature.net,https://berenberg.avature.net/careers,True,success,search_jobs_html,https://berenberg.avature.net/en_GB/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
bloomberg.avature.net,https://bloomberg.avature.net/careers,True,success,search_jobs_html,https://bloomberg.avature.net/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
boeing.avature.net,https://boeing.avature.net/ustalentnetwork,True,failed,,,,http_404,,,,,,,
boeing.avature.net,https://boeing.avature.net/globaltalentnetwork,True,failed,,,,no_pattern_detected,,,,,,,
belk.avature.net,https://belk.avature.net/storecareers,True,failed,,,,no_pattern_detected,,,,,,,
bmcrecruit.avature.net,https://bmcrecruit.avature.net/Careers,True,success,search_jobs_html,https://jobs.bmc.com/Careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
boozallen.avature.net,https://boozallen.avature.net/recruiting,True,failed,,,,http_404,,,,,,,
bloomberg.avature.net,https://bloomberg.avature.net/internalcareers,True,failed,,,,no_pattern_detected,,,,,,,
boozallen.avature.net,https://boozallen.avature.net/careers,True,failed,,,,no_pattern_detected,,,,,,,
bp.avature.net,https://bp.avature.net/talentcommunityx,True,failed,,,,http_404,,,,,,,
boozallen.avature.net,https://boozallen.avature.net/jobs,True,failed,,,,no_pattern_detected,,,,,,,
bbw.avature.net,https://bbw.avature.net/dcjobs,True,failed,,,,no_pattern_detected,,,,,,,
bp.avature.net,https://bp.avature.net/earlycareerstalentcommunity,True,failed,,,,no_pattern_detected,,,,,,,
baufest.avature.net,https://baufest.avature.net/jobs,True,partial,html_scrape,https://baufest.avature.net/jobs,low,,,,,,20.0,"['5773', '5763', '5779', '5775', '5767']",Requires detail page crawling
bp.avature.net,https://bp.avature.net/talentcommunity,True,failed,,,,no_pattern_detected,,,,,,,
boozallen.avature.net,https://boozallen.avature.net/talent,True,failed,,,,no_pattern_detected,,,,,,,
bradyplus.avature.net,https://bradyplus.avature.net/careersmarketplace,True,success,search_jobs_html,https://bradyplus.avature.net/careersmarketplace/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
bravura.avature.net,https://bravura.avature.net/careers,True,success,search_jobs_html,https://bravura.avature.net/en_US/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
broadinstitute.avature.net,https://broadinstitute.avature.net/careers,True,success,search_jobs_html,https://broadinstitute.avature.net/en_US/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
carlyle.avature.net,https://carlyle.avature.net/externalcareers,True,success,search_jobs_html,https://carlyle.avature.net/externalcareers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
bupaanz.avature.net,https://bupaanz.avature.net/careersau,True,failed,,,,no_pattern_detected,,,,,,,
bupaanz.avature.net,https://bupaanz.avature.net/careersnz,True,failed,,,,no_pattern_detected,,,,,,,
cbreglobal.avature.net,https://cbreglobal.avature.net/CBREWomenTalentCommunity,True,failed,,,,no_pattern_detected,,,,,,,
cbs.avature.net,https://cbs.avature.net/cbsnewscareers,True,failed,,,,fetch_failed,,,,,,,
cbs.avature.net,https://cbs.avature.net/cbstvscareers,True,failed,,,,fetch_failed,,,,,,,
cbs.avature.net,https://cbs.avature.net/cbsshowtimecareers,True,failed,,,,fetch_failed,,,,,,,
cbs.avature.net,https://cbs.avature.net/cbstvncareers,True,failed,,,,fetch_failed,,,,,,,
cbs.avature.net,https://cbs.avature.net/cbssscareers,True,failed,,,,fetch_failed,,,,,,,
cbs.avature.net,https://cbs.avature.net/cbstvdcareers,True,failed,,,,fetch_failed,,,,,,,
cbs.avature.net,https://cbs.avature.net/cbslateshowcareers,True,failed,,,,fetch_failed,,,,,,,
cbs.avature.net,https://cbs.avature.net/cbssncareers,True,failed,,,,fetch_failed,,,,,,,
cbs.avature.net,https://cbs.avature.net/cbscorpcareers,True,failed,,,,fetch_failed,,,,,,,
cbs.avature.net,https://cbs.avature.net/cbsinteractivecareers,True,failed,,,,fetch_failed,,,,,,,
cbs.avature.net,https://cbs.avature.net/cbsradiocareers,True,failed,,,,fetch_failed,,,,,,,
bupaanz.avature.net,https://bupaanz.avature.net/talent,True,failed,,,,no_pattern_detected,,,,,,,
cbreglobal.avature.net,https://cbreglobal.avature.net/auscareers,True,failed,,,,http_404,,,,,,,
carlyle.avature.net,https://carlyle.avature.net/talentcommunity,True,failed,,,,no_pattern_detected,,,,,,,
cba.avature.net,https://cba.avature.net/campustalentcommunity,True,failed,,,,no_pattern_detected,,,,,,,
chcm2-clientcertificate-qasiemens.avature.net,https://chcm2-clientcertificate-qasiemens.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
cba.avature.net,https://cba.avature.net/ourtalentcommunities,True,failed,,,,no_pattern_detected,,,,,,,
cgpower.avature.net,https://cgpower.avature.net/jobBoard,True,failed,,,,fetch_failed,,,,,,,
chcm2-clientcertificate-qasiemens.avature.net,https://chcm2-clientcertificate-qasiemens.avature.net/talent,True,failed,,,,fetch_failed,,,,,,,
chcm2-clientcertificate-qasiemens.avature.net,https://chcm2-clientcertificate-qasiemens.avature.net/jobs,True,failed,,,,fetch_failed,,,,,,,
chcm2-clientcertificate-qasiemens.avature.net,https://chcm2-clientcertificate-qasiemens.avature.net/recruiting,True,failed,,,,fetch_failed,,,,,,,
chcm2-clientcertificate-qasiemens.avature.net,https://chcm2-clientcertificate-qasiemens.avature.net/talentcommunity,True,failed,,,,fetch_failed,,,,,,,
chcm2-clientcertificate-siemens.avature.net,https://chcm2-clientcertificate-siemens.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
chcm2-clientcertificate-siemens.avature.net,https://chcm2-clientcertificate-siemens.avature.net/jobs,True,failed,,,,fetch_failed,,,,,,,
chcm2-clientcertificate-siemens.avature.net,https://chcm2-clientcertificate-siemens.avature.net/talent,True,failed,,,,fetch_failed,,,,,,,
chcm2-clientcertificate-siemens.avature.net,https://chcm2-clientcertificate-siemens.avature.net/recruiting,True,failed,,,,fetch_failed,,,,,,,
chcm2-clientcertificate-siemens.avature.net,https://chcm2-clientcertificate-siemens.avature.net/talentcommunity,True,failed,,,,fetch_failed,,,,,,,
cbreglobal.avature.net,https://cbreglobal.avature.net/salescareers,True,failed,,,,no_pattern_detected,,,,,,,
cbreglobal.avature.net,https://cbreglobal.avature.net/CBREPHMSTCAREERS,True,failed,,,,no_pattern_detected,,,,,,,
cbreglobal.avature.net,https://cbreglobal.avature.net/careersathost,True,failed,,,,no_pattern_detected,,,,,,,
cdcn.avature.net,https://cdcn.avature.net/talentcommunity,True,failed,,,,no_pattern_detected,,,,,,,
cbreglobal.avature.net,https://cbreglobal.avature.net/pjmcareers,True,failed,,,,no_pattern_detected,,,,,,,
cdcn.avature.net,https://cdcn.avature.net/careers,True,success,search_jobs_html,https://cdcn.avature.net/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
cdcn.avature.net,https://cdcn.avature.net/Careers,True,success,search_jobs_html,https://cdcn.avature.net/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
citi-clientcertificate.avature.net,https://citi-clientcertificate.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
citi-clientcertificate.avature.net,https://citi-clientcertificate.avature.net/jobs,True,failed,,,,fetch_failed,,,,,,,
citi-clientcertificate.avature.net,https://citi-clientcertificate.avature.net/talent,True,failed,,,,fetch_failed,,,,,,,
citi-clientcertificate.avature.net,https://citi-clientcertificate.avature.net/recruiting,True,failed,,,,fetch_failed,,,,,,,
citi-clientcertificate.avature.net,https://citi-clientcertificate.avature.net/talentcommunity,True,failed,,,,fetch_failed,,,,,,,
citi-sso.avature.net,https://citi-sso.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
citi-sso.avature.net,https://citi-sso.avature.net/jobs,True,failed,,,,fetch_failed,,,,,,,
citi-sso.avature.net,https://citi-sso.avature.net/talent,True,failed,,,,fetch_failed,,,,,,,
citi-sso.avature.net,https://citi-sso.avature.net/recruiting,True,failed,,,,fetch_failed,,,,,,,
citi-sso.avature.net,https://citi-sso.avature.net/talentcommunity,True,failed,,,,fetch_failed,,,,,,,
cisco.avature.net,https://cisco.avature.net/emearcareerday,True,failed,,,,http_404,,,,,,,
citi.avature.net,https://citi.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
citi.avature.net,https://citi.avature.net/careersFR,True,failed,,,,fetch_failed,,,,,,,
citi.avature.net,https://citi.avature.net/careersES,True,failed,,,,fetch_failed,,,,,,,
citiolf-qa.avature.net,https://citiolf-qa.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
citiolf-qa.avature.net,https://citiolf-qa.avature.net/jobs,True,failed,,,,fetch_failed,,,,,,,
citiolf-qa.avature.net,https://citiolf-qa.avature.net/talent,True,failed,,,,fetch_failed,,,,,,,
citiolf-qa.avature.net,https://citiolf-qa.avature.net/recruiting,True,failed,,,,fetch_failed,,,,,,,
citiolf-qa.avature.net,https://citiolf-qa.avature.net/talentcommunity,True,failed,,,,fetch_failed,,,,,,,
cisco.avature.net,https://cisco.avature.net/internaljobs,True,failed,,,,no_pattern_detected,,,,,,,
colasrail.avature.net,https://colasrail.avature.net/Careers,True,failed,,,,fetch_failed,,,,,,,
ciscotrainingats.avature.net,https://ciscotrainingats.avature.net/jobs,True,success,search_jobs_html,https://ciscotrainingats.avature.net/jobs/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
cisco2.avature.net,https://cisco2.avature.net/jobsfr,True,success,search_jobs_html,https://cisco2.avature.net/jobsfr/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
cisco2.avature.net,https://cisco2.avature.net/jobs,True,success,search_jobs_html,https://cisco2.avature.net/jobs/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
condenast.avature.net,https://condenast.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
condenastuk.avature.net,https://condenastuk.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
conferencenva.avature.net,https://conferencenva.avature.net/jobs,True,failed,,,,fetch_failed,,,,,,,
conferencenva.avature.net,https://conferencenva.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
cox.avature.net,https://cox.avature.net/talent,True,failed,,,,fetch_failed,,,,,,,
ciscotrainingats.avature.net,https://ciscotrainingats.avature.net/jobsfr,True,success,search_jobs_html,https://ciscotrainingats.avature.net/jobsfr/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
ciusss.avature.net,https://ciusss.avature.net/careers,True,success,search_jobs_html,https://ciusss.avature.net/fr_CA/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
countryfinancial.avature.net,https://countryfinancial.avature.net/careers,True,failed,,,,http_404,,,,,,,
crowdstrike.avature.net,https://crowdstrike.avature.net/talentcommunity,True,failed,,,,http_404,,,,,,,
crl.avature.net,https://crl.avature.net/CharlesRiverTalentCommunity,True,failed,,,,no_pattern_detected,,,,,,,
colorado.avature.net,https://colorado.avature.net/internaljobs,True,failed,,,,no_pattern_detected,,,,,,,
cisco.avature.net,https://cisco.avature.net/jobs,True,failed,,,,no_pattern_detected,,,,,,,
crowdstrike.avature.net,https://crowdstrike.avature.net/UniversityTalentCommunity,True,failed,,,,http_404,,,,,,,
credicorpats.avature.net,https://credicorpats.avature.net/careersmarketplace,True,success,search_jobs_html,https://credicorpats.avature.net/careersmarketplace/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
coloradodev.avature.net,https://coloradodev.avature.net/jobs,True,success,search_jobs_html,https://coloradodev.avature.net/jobs/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
cs-cdn.avature.net,https://cs-cdn.avature.net/careers,True,failed,,,,http_403,,,,,,,
cs-cdn.avature.net,https://cs-cdn.avature.net/talent,True,failed,,,,http_403,,,,,,,
cs-cdn.avature.net,https://cs-cdn.avature.net/jobs,True,failed,,,,http_403,,,,,,,
crownkemble.avature.net,https://crownkemble.avature.net/jobs,True,success,search_jobs_html,https://crownkemble.avature.net/jobs/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
cs-cdn.avature.net,https://cs-cdn.avature.net/recruiting,True,failed,,,,http_403,,,,,,,
cs-cdn.avature.net,https://cs-cdn.avature.net/talentcommunity,True,failed,,,,http_403,,,,,,,
cisco.avature.net,https://cisco.avature.net/CiscoJapanCareer,True,failed,,,,no_pattern_detected,,,,,,,
colorado.avature.net,https://colorado.avature.net/jobs,True,success,search_jobs_html,https://jobs.colorado.edu/jobs/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
dbgroup.avature.net,https://dbgroup.avature.net/cargopolskajob,True,failed,,,,no_pattern_detected,,,,,,,
dbgroup.avature.net,https://dbgroup.avature.net/ukrapply,True,failed,,,,http_404,,,,,,,
dbgroup.avature.net,https://dbgroup.avature.net/jobpreviewInternalDE,True,failed,,,,no_pattern_detected,,,,,,,
deloittebe.avature.net,https://deloittebe.avature.net/JobInternshipFair,True,failed,,,,no_pattern_detected,,,,,,,
deloittebe.avature.net,https://deloittebe.avature.net/careers,True,success,search_jobs_html,https://deloittebe.avature.net/en_US/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
deloittebe.avature.net,https://deloittebe.avature.net/JobInternshipFair2025,True,failed,,,,http_404,,,,,,,
deloittebe.avature.net,https://deloittebe.avature.net/Takeyourtechcareertothenextlevel,True,failed,,,,no_pattern_detected,,,,,,,
cyclecarriage.avature.net,https://cyclecarriage.avature.net/careers,True,success,search_jobs_html,https://cyclecarriage.avature.net/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
dell2.avature.net,https://dell2.avature.net/japancareers,True,failed,,,,no_pattern_detected,,,,,,,
deloittepng.avature.net,https://deloittepng.avature.net/careers,True,success,search_jobs_html,https://deloittepng.avature.net/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
deloittecm.avature.net,https://deloittecm.avature.net/careers,True,success,search_jobs_html,https://deloittecm.avature.net/en_US/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
deloitteuk.avature.net,https://deloitteuk.avature.net/UKTalentCommunity,True,failed,,,,no_pattern_detected,,,,,,,
deloitteus.avature.net,https://deloitteus.avature.net/DeloitteCareerOpportunities,True,failed,,,,http_404,,,,,,,
deloitteuk.avature.net,https://deloitteuk.avature.net/careernightstudents,True,failed,,,,http_404,,,,,,,
demojuannavarro.avature.net,https://demojuannavarro.avature.net/careersDE,True,failed,,,,fetch_failed,,,,,,,
delta.avature.net,https://delta.avature.net/StudentsandEarlyCareers,True,failed,,,,no_pattern_detected,,,,,,,
delta.avature.net,https://delta.avature.net/careers,True,failed,,,,http_202,,,,,,,
delta.avature.net,https://delta.avature.net/talentcommunity,True,failed,,,,no_pattern_detected,,,,,,,
deltaflightattendants.avature.net,https://deltaflightattendants.avature.net/apply,True,partial,html_scrape,https://deltaflightattendants.avature.net/apply,low,,,,,,2.0,"['15', '16']",Requires detail page crawling
deloitteus.avature.net,https://deloitteus.avature.net/careers,True,success,search_jobs_html,https://apply.deloitte.com/en_US/careers/SearchJobs?sort=relevancy,medium,,jobOffset,jobRecords,50.0,form_detection,,,
demosergioaguado.avature.net,https://demosergioaguado.avature.net/careersmarketplace,True,success,search_jobs_html,https://demosergioaguado.avature.net/en_US/careersmarketplace/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
deloitteuk.avature.net,https://deloitteuk.avature.net/CHCareers,True,success,search_jobs_html,https://apply.deloitte.ch/CHCareers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
disher.avature.net,https://disher.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
deshawresearch.avature.net,https://deshawresearch.avature.net/careers,True,failed,,,,no_pattern_detected,,,,,,,
dhlconsulting.avature.net,https://dhlconsulting.avature.net/ExploreInternationalCareerProgram,True,failed,,,,http_404,,,,,,,
delta.avature.net,https://delta.avature.net/pilotcareers,True,partial,html_scrape,https://delta.avature.net/pilotcareers,low,,,,,,1.0,['28088'],Requires detail page crawling
dhlconsulting.avature.net,https://dhlconsulting.avature.net/DHLCTalentPool,True,failed,,,,http_404,,,,,,,
dfiretailgroup.avature.net,https://dfiretailgroup.avature.net/careers,True,success,search_jobs_html,https://dfiretailgroup.avature.net/en_US/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
dfiretailgroup.avature.net,https://dfiretailgroup.avature.net/careersikea,True,success,search_jobs_html,https://dfiretailgroup.avature.net/en_US/careersikea/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
ebayclassifieds.avature.net,https://ebayclassifieds.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
emc.avature.net,https://emc.avature.net/emccareers,True,failed,,,,fetch_failed,,,,,,,
emc.avature.net,https://emc.avature.net/careersisrael,True,failed,,,,fetch_failed,,,,,,,
delta.avature.net,https://delta.avature.net/talentcommunities,True,partial,html_scrape,https://delta.avature.net/talentcommunities,low,,,,,,5.0,"['28032', '28031', '28030', '28033', '28034']",Requires detail page crawling
entercom.avature.net,https://entercom.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
dhlconsulting.avature.net,https://dhlconsulting.avature.net/careers,True,success,search_jobs_html,https://dhlconsulting.avature.net/en_US/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
docsglobal.avature.net,https://docsglobal.avature.net/externalcareers,True,success,search_jobs_html,https://docsglobal.avature.net/externalcareers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
dpdhlgroup.avature.net,https://dpdhlgroup.avature.net/jobs,True,failed,,,,http_202,,,,,,,
dbgroup.avature.net,https://dbgroup.avature.net/jobsde,True,partial,html_scrape,https://dbgroup.avature.net/jobsde,low,,,,,,20.0,"['613209', '612406', '614599', '614158', '614588']",Requires detail page crawling
epicgames.avature.net,https://epicgames.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
epicor.avature.net,https://epicor.avature.net/talentcommunity,True,failed,,,,fetch_failed,,,,,,,
ericssonfsopontoon.avature.net,https://ericssonfsopontoon.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
executiverpo.avature.net,https://executiverpo.avature.net/career,True,failed,,,,fetch_failed,,,,,,,
dosist.avature.net,https://dosist.avature.net/careers,True,success,search_jobs_html,https://dosist.avature.net/careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
dtccpontoon.avature.net,https://dtccpontoon.avature.net/talent,True,failed,,,,no_pattern_detected,,,,,,,
epic.avature.net,https://epic.avature.net/talentCommunity,True,failed,,,,no_pattern_detected,,,,,,,
fcaargentina.avature.net,https://fcaargentina.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
fiverings.avature.net,https://fiverings.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
fleetfarm.avature.net,https://fleetfarm.avature.net/careers,True,failed,,,,fetch_failed,,,,,,,
epic.avature.net,https://epic.avature.net/Careers,True,success,search_jobs_html,https://epic.avature.net/Careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
epic.avature.net,https://epic.avature.net/careers,True,success,search_jobs_html,https://epic.avature.net/Careers/SearchJobs,medium,,jobOffset,jobRecords,50.0,form_detection,,,
eyglobal.avature.net,https://eyglobal.avature.net/masteryourcareer,True,failed,,,,http_404,,,,,,,
fb.avature.net,https://fb.avature.net/FletcherBuildingTalentRegistration,True,failed,,,,no_pattern_detected,,,,,,,
fb.avature.net,https://fb.avature.net/FletcherBuildingTalentExperienceEOI,True,failed,,,,no_pattern_detected,,,,,,,
